ons_code,name,mp,percsigned,Remain,polParty,EER17CD,EER17NM,partyColour
S14000028,Falkirk,John McNally MP,2.255748575,57.9,Scottish National Party,S15000001,Scotland,#FEF987
S14000029,Glasgow Central,Alison Thewliss MP,4.878923767,71.2,Scottish National Party,S15000001,Scotland,#FEF987
S14000030,Glasgow East,David Linden MP,1.584910972,56.2,Scottish National Party,S15000001,Scotland,#FEF987
S14000031,Glasgow North,Patrick Grady MP,6.384389045,78.4,Scottish National Party,S15000001,Scotland,#FEF987
S14000032,Glasgow North East,Mr Paul Sweeney MP,2.138286475,59.3,Labour,S15000001,Scotland,#DC241f
S14000033,Glasgow North West,Carol Monaghan MP,3.748529641,68.5,Scottish National Party,S15000001,Scotland,#FEF987
S14000034,Glasgow South,Stewart Malcolm McDonald MP,4.741248308,71.8,Scottish National Party,S15000001,Scotland,#FEF987
S14000035,Glasgow South West,Chris Stephens MP,2.058308865,59.1,Scottish National Party,S15000001,Scotland,#FEF987
S14000036,Glenrothes,Peter Grant MP,1.327972365,52.4,Scottish National Party,S15000001,Scotland,#FEF987
S14000037,Gordon,Colin Clark MP,2.550896458,55.7,Conservative,S15000001,Scotland,#0087DC
S14000038,Inverclyde,Ronnie Cowan MP,2.000678196,63.8,Scottish National Party,S15000001,Scotland,#FEF987
S14000039,"Inverness, Nairn, Badenoch and Strathspey",Drew Hendry MP,2.586071657,59.9,Scottish National Party,S15000001,Scotland,#FEF987
S14000040,Kilmarnock and Loudoun,Alan Brown MP,1.78969179,60.5,Scottish National Party,S15000001,Scotland,#FEF987
S14000041,Kirkcaldy and Cowdenbeath,Lesley Laird MP,1.995291575,56.7,Labour,S15000001,Scotland,#DC241f
S14000042,Lanark and Hamilton East,Angela Crawley MP,1.902225126,64,Scottish National Party,S15000001,Scotland,#FEF987
S14000043,Linlithgow and East Falkirk,Martyn Day MP,2.49431083,58,Scottish National Party,S15000001,Scotland,#FEF987
