"ons_code","name","mp","percsigned","Remain","polParty","EER17CD","EER17NM","partyColour"
"E14000854","North Warwickshire","Craig Tracey MP",4.79157917552867,32.2,"Conservative","E15000005","West Midlands","#0087DC"
"E14000855","North West Cambridgeshire","Mr Shailesh Vara MP",8.96911853865561,43.1,"Conservative","E15000006","Eastern","#0087DC"
"E14000856","North West Durham","Laura Pidcock MP",6.7713717693837,45,"Labour","E15000001","North East","#DC241f"
"E14000857","North West Hampshire","Kit Malthouse MP",11.077538007661,45.2,"Conservative","E15000008","South East","#0087DC"
"E14000858","North West Leicestershire","Andrew Bridgen MP",7.40903553171982,39.3,"Conservative","E15000004","East Midlands","#0087DC"
"E14000859","North West Norfolk","Sir Henry Bellingham MP",6.06921813818365,34.2,"Conservative","E15000006","Eastern","#0087DC"
"E14000860","North Wiltshire","James Gray MP",13.1971391100956,49.7,"Conservative","E15000009","South West","#0087DC"
"E14000861","Northampton North","Michael Ellis MP",7.67847746009472,39.7,"Conservative","E15000004","East Midlands","#0087DC"
"E14000862","Northampton South","Andrew Lewer MP",7.57575757575758,41,"Conservative","E15000004","East Midlands","#0087DC"
"E14000863","Norwich North","Chloe Smith MP",10.7807887631332,43.3,"Conservative","E15000006","Eastern","#0087DC"
"E14000864","Norwich South","Clive Lewis MP",17.3487959678925,59.5,"Labour","E15000006","Eastern","#DC241f"
"E14000865","Nottingham East","Mr Chris Leslie MP",10.6682471477256,57.1,"Independent","E15000004","East Midlands","#DDDDDD"
"E14000866","Nottingham North","Alex Norris MP",4.64950121326503,36.2,"Labour","E15000004","East Midlands","#DC241f"
"E14000867","Nottingham South","Lilian Greenwood MP",9.25789860396767,53.5,"Labour","E15000004","East Midlands","#DC241f"
"E14000868","Nuneaton","Mr Marcus Jones MP",5.38738861301952,35.5,"Conservative","E15000005","West Midlands","#0087DC"
"E14000869","Old Bexley and Sidcup","Rt Hon James Brokenshire MP",8.48825866285892,37.6,"Conservative","E15000007","London","#0087DC"
"E14000870","Oldham East and Saddleworth","Debbie Abrahams MP",5.91780752969599,40.1,"Labour","E15000002","North West","#DC241f"
"E14000871","Oldham West and Royton","Jim McMahon MP",3.96576464463041,38.7,"Labour","E15000002","North West","#DC241f"
"E14000872","Orpington","Joseph Johnson MP",11.0690939762424,42.5,"Conservative","E15000007","London","#0087DC"
"E14000873","Oxford East","Anneliese Dodds MP",21.1010186076355,67.5,"Labour","E15000008","South East","#DC241f"
"E14000874","Oxford West and Abingdon","Layla Moran MP",24.5946937558761,62,"Liberal Democrat","E15000008","South East","#FAA61A"
"E14000875","Pendle","Andrew Stephenson MP",4.57594426531552,36.8,"Conservative","E15000002","North West","#0087DC"
"E14000876","Penistone and Stocksbridge","Angela Smith MP",7.35060887313649,39.3,"Independent","E15000003","Yorkshire and The Humber","#DDDDDD"
"E14000877","Penrith and The Border","Rory Stewart MP",9.38688843669822,44.8,"Conservative","E15000002","North West","#0087DC"
"E14000878","Peterborough","Fiona Onasanya MP",6.44248286631387,37.3,"Independent","E15000006","Eastern","#DDDDDD"
"E14000879","Plymouth, Moor View","Johnny Mercer MP",4.83564286007414,33.6,"Conservative","E15000009","South West","#0087DC"
"E14000880","Plymouth, Sutton and Devonport","Luke Pollard MP",10.7936643106532,45.6,"Labour","E15000009","South West","#DC241f"
